작성일,진행상황,카테고리,제목,링크,등록부서,조회수
2025.10.28,진행,채용,베어드학부대학 교양교육운영팀 학사조교 채용 공고(~11.11. 접수 / 2명 채용),https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80-%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD-%EB%B2%A0%EC%96%B4%EB%93%9C%ED%95%99%EB%B6%80%EB%8C%80%ED%95%99-%EA%B5%90%EC%96%91%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&keyword,베어드교양대학,385
2025.10.27,진행,장학,2025년 2학기 익산사랑장학재단 다다익산 장학생 선발 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=2025%EB%85%84-2%ED%95%99%EA%B8%B0-%EC%9D%B5%EC%82%B0%EC%82%AC%EB%9E%91%EC%9E%A5%ED%95%99%EC%9E%AC%EB%8B%A8-%EB%8B%A4%EB%8B%A4%EC%9D%B5%EC%82%B0-%EC%9E%A5%ED%95%99%EC%83%9D-%EC%84%A0%EB%B0%9C-%EC%95%88&keyword,장학팀,275
2025.10.27,진행,봉사,[초록우산] 기부 마라톤 봉사자 모집 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%EC%B4%88%EB%A1%9D%EC%9A%B0%EC%82%B0-%EA%B8%B0%EB%B6%80-%EB%A7%88%EB%9D%BC%ED%86%A4-%EB%B4%89%EC%82%AC%EC%9E%90-%EB%AA%A8%EC%A7%91-%EC%95%88%EB%82%B4&keyword,사회공헌팀,5064
2025.10.27,진행,장학,2025년도 하반기 강화군 대학생 등록금 지원사업 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=2025%EB%85%84%EB%8F%84-%ED%95%98%EB%B0%98%EA%B8%B0-%EA%B0%95%ED%99%94%EA%B5%B0-%EB%8C%80%ED%95%99%EC%83%9D-%EB%93%B1%EB%A1%9D%EA%B8%88-%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85-%EC%95%88%EB%82%B4&keyword,장학팀,370
2025.10.27,진행,장학,2025년도 통영시 저소득 대학생 장학금 지원대상자 선발 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=2025%EB%85%84%EB%8F%84-%ED%86%B5%EC%98%81%EC%8B%9C-%EC%A0%80%EC%86%8C%EB%93%9D-%EB%8C%80%ED%95%99%EC%83%9D-%EC%9E%A5%ED%95%99%EA%B8%88-%EC%A7%80%EC%9B%90%EB%8C%80%EC%83%81%EC%9E%90-%EC%84%A0%EB%B0%9C&keyword,장학팀,125
2025.10.27,완료,장학,2025년도 (재)인천인재평생교육진흥원 공익인재 장학생 선발 안내(기한 연장),https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=2025%EB%85%84%EB%8F%84-%EC%9E%AC%EC%9D%B8%EC%B2%9C%EC%9D%B8%EC%9E%AC%ED%8F%89%EC%83%9D%EA%B5%90%EC%9C%A1%EC%A7%84%ED%9D%A5%EC%9B%90-%EA%B3%B5%EC%9D%B5%EC%9D%B8%EC%9E%AC-%EC%9E%A5%ED%95%99%EC%83%9D&keyword,장학팀,1541
2025.10.27,완료,기타,2025-2학기 숭실대학교 실내체육관 대관 신청 안내(11월),https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=2025-2%ED%95%99%EA%B8%B0-%EC%88%AD%EC%8B%A4%EB%8C%80%ED%95%99%EA%B5%90-%EC%8B%A4%EB%82%B4%EC%B2%B4%EC%9C%A1%EA%B4%80-%EB%8C%80%EA%B4%80-%EC%8B%A0%EC%B2%AD-%EC%95%88%EB%82%B411%EC%9B%94&keyword,스포츠학부,259
2025.10.27,N/A,비교과·행사,2025 창업아이디어 경진대회 (연장 모집 공고),https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=2025-%EC%B0%BD%EC%97%85%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4-%EA%B2%BD%EC%A7%84%EB%8C%80%ED%9A%8C-%EC%97%B0%EC%9E%A5-%EB%AA%A8%EC%A7%91-%EA%B3%B5%EA%B3%A0&keyword,창업지원단,260
2025.10.24,완료,비교과·행사,[중앙도서관] 11월 독서후기클럽 참가자 모집(~11/3),https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=2&slug=%EB%AA%A8%EC%A7%91-11%EC%9B%94-%EB%8F%85%EC%84%9C%ED%9B%84%EA%B8%B0%ED%81%B4%EB%9F%BD-%EC%B0%B8%EA%B0%80%EC%9E%90-%EB%AA%A8%EC%A7%9111-3&keyword,중앙도서관,710
2025.10.23,N/A,비교과·행사,[스파르탄SW 교육원] <2025년 AI·SW 창작 콘텐츠 공모전: 모두가 크리에이터다>,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=%EC%8A%A4%ED%8C%8C%EB%A5%B4%ED%83%84sw-%EA%B5%90%EC%9C%A1%EC%9B%90&keyword,웹마스터,1288
